date,deals,paid_deals,revenue_cash,revenue_contract,spend,calls,paid_rate,cpa_contract,roas_contract,deals_ma7,paid_deals_ma7,spend_ma7
2023-11-25,22.0,3.0,2300.0,20500.0,154.96,130.0,0.13636363636363635,51.653333333333336,132.29220443985545,95.42857142857143,5.428571428571429,258.83714285714285
2023-11-26,29.0,8.0,6300.0,73500.0,157.79,44.0,0.27586206896551724,19.72375,465.80898662779646,80.14285714285714,5.714285714285714,238.27142857142857
2023-11-27,33.0,3.0,3000.0,33000.0,196.74,250.0,0.09090909090909091,65.58,167.73406526379992,66.0,5.142857142857143,221.60999999999999
2023-11-28,39.0,2.0,2000.0,22000.0,186.65,338.0,0.05128205128205128,93.325,117.86766675596034,49.142857142857146,4.571428571428571,190.11999999999998
2023-11-29,52.0,3.0,3000.0,33500.0,287.59,338.0,0.057692307692307696,95.86333333333333,116.48527417504087,40.57142857142857,4.285714285714286,197.84714285714284
2023-11-30,50.0,1.0,300.0,4000.0,228.76999999999998,319.0,0.02,228.76999999999998,17.484810071250603,36.142857142857146,3.2857142857142856,194.21857142857147
2023-12-01,38.0,4.0,2300.0,26000.0,180.28,307.0,0.10526315789473684,45.07,144.22010206345684,37.57142857142857,3.4285714285714284,198.96857142857144
2023-12-02,37.0,2.0,2000.0,23000.0,270.55,120.0,0.05405405405405406,135.275,85.01201256699316,39.714285714285715,3.2857142857142856,215.48142857142858
2023-12-03,19.0,2.0,2000.0,16000.0,194.19,82.0,0.10526315789473684,97.095,82.39353210772954,38.285714285714285,2.4285714285714284,220.68142857142857
2023-12-04,52.0,4.0,3300.0,37000.0,352.61,205.0,0.07692307692307693,88.1525,104.9317943336831,41.0,2.5714285714285716,242.94857142857146
2023-12-05,59.0,2.0,2000.0,14000.0,246.54000000000002,296.0,0.03389830508474576,123.27000000000001,56.78591709256104,43.857142857142854,2.5714285714285716,251.50428571428574
2023-12-06,65.0,7.0,7000.0,71000.0,661.73,308.0,0.1076923076923077,94.53285714285714,107.29451589016668,45.714285714285715,3.142857142857143,304.95285714285717
2023-12-07,89.0,3.0,3000.0,33000.0,518.31,246.0,0.033707865168539325,172.76999999999998,63.66846095965735,51.285714285714285,3.4285714285714284,346.3157142857143
2023-12-08,122.0,3.0,1500.0,17000.0,383.18,296.0,0.02459016393442623,127.72666666666667,44.36557231588287,63.285714285714285,3.2857142857142856,375.3014285714286
2023-12-09,80.0,3.0,2300.0,19000.0,312.40000000000003,81.0,0.0375,104.13333333333334,60.81946222791292,69.42857142857143,3.4285714285714284,381.28000000000003
2023-12-10,82.0,7.0,3400.0,40500.0,323.96,107.0,0.08536585365853659,46.279999999999994,125.01543400419806,78.42857142857143,4.142857142857143,399.81857142857143
2023-12-11,87.0,3.0,2300.0,25500.0,521.43,253.0,0.034482758620689655,173.80999999999997,48.90397560554629,83.42857142857143,4.0,423.93571428571425
2023-12-12,123.0,8.0,5800.0,66000.0,488.76,448.0,0.06504065040650407,61.095,135.03560029462312,92.57142857142857,4.857142857142857,458.53857142857134
2023-12-13,76.0,4.0,3300.0,37500.0,332.95,289.0,0.05263157894736842,83.2375,112.62952395254543,94.14285714285714,4.428571428571429,411.57
2023-12-14,80.0,7.0,5900.0,48000.0,759.77,336.0,0.0875,108.53857142857143,63.17701409637127,92.85714285714286,5.0,446.0642857142857
2023-12-15,71.0,2.0,2000.0,22000.0,339.65,258.0,0.028169014084507043,169.825,64.77255998822318,85.57142857142857,4.857142857142857,439.8457142857143
2023-12-16,44.0,5.0,4500.0,32000.0,325.4,224.0,0.11363636363636363,65.08,98.34050399508298,80.42857142857143,5.142857142857143,441.70285714285717
